iter	Passed	Remaining
0	1	133
1	2	123
2	3	121
3	4	112
4	5	112
5	8	129
6	9	126
7	10	122
8	11	119
9	12	116
10	14	115
11	15	113
12	16	111
13	17	108
14	18	106
15	19	104
16	21	103
17	22	104
18	24	102
19	25	100
20	26	99
21	27	97
22	28	95
23	29	94
24	30	92
25	32	91
26	33	90
27	34	88
28	38	93
29	39	91
30	40	89
31	41	88
32	42	86
33	43	85
34	44	83
35	46	81
36	48	81
37	49	80
38	51	81
39	53	79
40	54	77
41	54	75
42	55	73
43	56	72
44	58	70
45	59	69
46	60	68
47	61	66
48	62	65
49	63	63
50	67	64
51	68	63
52	69	61
53	70	60
54	71	58
55	72	56
56	73	55
57	74	54
58	76	52
59	77	51
60	78	50
61	80	49
62	82	48
63	83	46
64	84	45
65	85	44
66	86	42
67	88	41
68	89	40
69	90	38
70	91	37
71	93	36
72	97	35
73	98	34
74	99	33
75	100	31
76	102	30
77	103	29
78	104	27
79	106	26
80	107	25
81	108	23
82	112	23
83	113	21
84	115	20
85	116	18
86	119	17
87	121	16
88	122	15
89	123	13
90	125	12
91	126	11
92	128	9
93	129	8
94	130	6
95	131	5
96	132	4
97	133	2
98	134	1
99	135	0
